honeytrap,"babe , i can't stay without you"
jobfraud,SDEFR
honeytrap,"i love you so much"
jobfraud,Software Engineer
honeytrap,"you are my everything"
jobfraud,Senior Developer
honeytrap,"i can't imagine my life without you"
jobfraud,Full Stack Developer
honeytrap,"you complete me"
jobfraud,Backend Engineer
honeytrap,"you are my soulmate"
jobfraud,Frontend Developer
honeytrap,"i need you in my life"
jobfraud,DevOps Engineer
honeytrap,"you are my reason to live"
jobfraud,Data Scientist
honeytrap,"i can't wait to be with you"
jobfraud,Machine Learning Engineer
honeytrap,"you make me so happy"
honeytrap,"i cherish every moment with you"
jobfraud,AI Engineer
jobfraud,Cloud Engineer
honeytrap,"you are my dream"